id,value
id_0,35.7690800334
id_1,9.22587622712
id_2,7.78796995079
id_3,22.1081554536
id_4,26.7043533154
id_5,91.2273138148
id_6,26.6638649998
id_7,33.7909657672
id_8,43.7925967727
id_9,16.4389706975
id_10,24.6111072078
id_11,40.5405198415
id_12,33.9036567157
id_13,13.537558149
id_14,28.0032785705
id_15,39.0082627066
id_16,34.6973435113
id_17,57.4176377075
id_18,23.6990303982
id_19,10.449078731
id_20,26.6674648617
id_21,25.3126783942
id_22,44.056190435
id_23,40.7500939755
id_24,22.5143554957
id_25,16.8240198329
id_26,42.6954459265
id_27,32.8551625618
id_28,57.5706850469
id_29,17.0004559578
id_30,10.4221294682
id_31,42.7717596858
id_32,36.2130378658
id_33,28.2228276834
id_34,51.7960344793
id_35,33.7678465344
id_36,12.6851439731
id_37,40.5082315761
id_38,20.7638228084
id_39,3.56915533439
id_40,29.4368116591
id_41,0.475953329544
id_42,41.5943149279
id_43,28.2404202179
id_44,55.212712302
id_45,33.3458271129
id_46,38.577092646
id_47,23.6940477607
id_48,28.1989432137
id_49,61.621775311
id_50,23.8800035148
id_51,44.8138242878
id_52,23.6247753141
id_53,24.8950540808
id_54,18.375827132
id_55,34.5178203853
id_56,35.0787429232
id_57,24.9063497486
id_58,26.5453973481
id_59,11.6038394785
id_60,57.019300229
id_61,73.6415778958
id_62,34.1003326791
id_63,23.852936954
id_64,18.3898457692
id_65,38.0378771827
id_66,40.3454533527
id_67,11.7266009383
id_68,50.1493747347
id_69,8.87077862845
id_70,19.849518767
id_71,13.1496310793
id_72,24.3609089508
id_73,20.3812627759
id_74,43.966669721
id_75,60.1901783223
id_76,10.3661843529
id_77,36.0883817386
id_78,47.6716361322
id_79,36.2613670916
id_80,44.7763706692
id_81,26.038879902
id_82,1.06155205047
id_83,39.5828789168
id_84,11.02640459
id_85,13.3558200461
id_86,33.3889429084
id_87,82.1881606426
id_88,32.6677923817
id_89,47.0211163406
id_90,14.4657251955
id_91,57.9793737213
id_92,48.7551698459
id_93,8.1891439314
id_94,22.2682618712
id_95,28.4221332388
id_96,21.5106770842
id_97,8.49548739329
id_98,12.2961682384
id_99,38.2786254328
id_100,18.8496450791
id_101,41.1844973222
id_102,29.8379727641
id_103,36.1225001109
id_104,30.2443063794
id_105,25.6790449399
id_106,15.0425041048
id_107,34.5696260512
id_108,10.5906426123
id_109,62.2487354178
id_110,33.4687903846
id_111,61.2483870893
id_112,19.1363920213
id_113,28.2180618914
id_114,30.8641732536
id_115,32.8686337561
id_116,39.6454401241
id_117,22.3794557547
