id,value
id_0,36.7157423011
id_1,17.0733726627
id_2,10.3583703298
id_3,21.7195870819
id_4,28.0880339683
id_5,96.2970742999
id_6,25.1008324134
id_7,33.5620847574
id_8,41.8802687217
id_9,19.9257890231
id_10,26.8176558003
id_11,41.0858949209
id_12,37.6503926544
id_13,19.3564901649
id_14,29.3718052052
id_15,40.8226530219
id_16,36.0706683157
id_17,54.445219684
id_18,22.5676509787
id_19,14.6501968927
id_20,29.3031602029
id_21,29.5443344911
id_22,48.94814195
id_23,42.4142708167
id_24,19.7848677077
id_25,15.5023104301
id_26,42.9085702261
id_27,33.50964152
id_28,53.6142073805
id_29,17.5609897385
id_30,19.7190253006
id_31,39.2784349313
id_32,37.6260102602
id_33,24.5187877858
id_34,49.2040756972
id_35,38.4211050152
id_36,17.6248760252
id_37,43.4570919907
id_38,23.0438308173
id_39,7.97288911914
id_40,30.641392373
id_41,12.9926160276
id_42,44.2913632851
id_43,31.0966909981
id_44,48.1249143215
id_45,37.8753953185
id_46,34.8734423788
id_47,20.8170106353
id_48,28.4944738906
id_49,55.1146875171
id_50,26.3490922742
id_51,43.9789381644
id_52,25.9995951824
id_53,29.1978764832
id_54,22.0322901386
id_55,34.0472586658
id_56,35.3124770006
id_57,27.5890314651
id_58,29.074013784
id_59,14.9935386723
id_60,55.6955359054
id_61,77.3714534982
id_62,35.0684457048
id_63,25.8618813543
id_64,18.6450303807
id_65,34.0459187065
id_66,35.9464753106
id_67,14.3437665472
id_68,43.4610117132
id_69,11.8330994445
id_70,21.3093902602
id_71,19.0426781536
id_72,32.201429083
id_73,19.2845581895
id_74,47.4975206533
id_75,59.6316984785
id_76,8.98205255576
id_77,37.2597615755
id_78,67.1877116192
id_79,37.7194052607
id_80,48.5458719328
id_81,25.1018922074
id_82,15.5325964085
id_83,33.8276944525
id_84,14.060893339
id_85,17.951380703
id_86,34.5533879287
id_87,79.5962308504
id_88,31.569423629
id_89,44.8979774572
id_90,19.0804665251
id_91,58.4724083846
id_92,50.9334188399
id_93,13.1001153597
id_94,25.2279455186
id_95,27.9197811671
id_96,26.5815286651
id_97,10.9113941587
id_98,16.3554558061
id_99,36.9692734558
id_100,23.0252554065
id_101,42.3040141598
id_102,32.670621447
id_103,35.45836342
id_104,29.9527943027
id_105,31.3312276952
id_106,23.3511820921
id_107,38.4246353732
id_108,13.7816496294
id_109,65.5593628611
id_110,30.6276112404
id_111,59.8453726589
id_112,24.1799792129
id_113,28.5255315985
id_114,30.6369026373
id_115,35.4691354186
id_116,37.299352383
id_117,23.9160407614
id_118,30.3204088176
id_119,45.0087700516
id_120,25.1702592996
id_121,31.3761298993
id_122,64.9967717708
id_123,12.0388985676
id_124,31.4009237025
id_125,10.4580091557
id_126,31.1312792662
id_127,20.767786475
id_128,28.455281256
id_129,46.4872492703
id_130,12.4500056077
id_131,45.4560377245
id_132,22.4950393946
id_133,11.519647821
id_134,22.9723322751
id_135,30.1651125271
id_136,57.4284067023
id_137,74.6463380128
id_138,24.9008091745
id_139,50.2807434995
id_140,72.4472308188
id_141,19.2765343498
id_142,36.9139743825
id_143,30.5983131932
id_144,35.243601694
id_145,16.2950727586
id_146,30.0924648133
id_147,42.4329161549
id_148,32.4913923072
id_149,21.0456474395
id_150,46.6839917817
id_151,33.5188032788
id_152,49.8054867107
id_153,25.8761576669
id_154,14.7498581573
id_155,55.9397564833
id_156,17.1225305918
id_157,23.9634514192
id_158,42.8112596136
id_159,22.8000202838
id_160,16.8892233819
id_161,90.2375466547
id_162,50.7561001953
id_163,36.3507664502
id_164,37.2705680416
id_165,33.5871876338
id_166,45.4915661509
id_167,51.5752015759
id_168,18.8224507356
id_169,26.6050695913
id_170,31.1825498967
id_171,28.4240570413
id_172,27.6670307284
id_173,38.503477323
id_174,83.965124352
id_175,48.9052184445
id_176,20.8508692671
id_177,27.5493696092
id_178,51.8676568705
id_179,28.6555207552
id_180,18.7074847496
id_181,33.192973749
id_182,23.449187951
id_183,38.8745506923
id_184,14.4694978755
id_185,39.8010513092
id_186,35.4520935622
id_187,43.7356429433
id_188,68.8274186868
id_189,49.6269711866
id_190,12.0144914715
id_191,24.7209829695
id_192,21.1194983987
id_193,35.709384475
id_194,26.4549336229
id_195,17.7496407596
id_196,17.8646682833
id_197,13.8760338092
id_198,26.3307790942
id_199,15.2938090415
id_200,11.0220749641
id_201,27.8746044428
id_202,27.2389852219
id_203,64.7215838988
id_204,12.3219697893
id_205,20.9615719899
id_206,54.7524164324
id_207,47.7089579381
id_208,23.6633945124
id_209,28.5392205064
id_210,38.749845423
id_211,31.2974175766
id_212,32.3629924912
id_213,14.429916358
id_214,16.3840216046
id_215,7.69941314114
id_216,50.5789506427
id_217,13.5141196821
id_218,33.7320628619
id_219,81.4753819759
id_220,44.7568181672
id_221,22.7985451891
id_222,40.1809021251
id_223,77.4492329041
id_224,28.9319250662
id_225,23.8518098114
id_226,16.412175545
